variante,escenario,algoritmo,repeticion,semilla,iteracion,evaluaciones,mejor_F
BASE,N025-I01,GENETICO,0,42,0,60,22697.865
BASE,N025-I01,GENETICO,0,42,1,120,22642.275
BASE,N025-I01,GENETICO,0,42,2,180,22591.405
BASE,N025-I01,GENETICO,0,42,3,240,22591.405
BASE,N025-I01,GENETICO,0,42,4,300,22591.405
BASE,N025-I01,GENETICO,0,42,5,360,22591.055
BASE,N025-I01,GENETICO,0,42,6,420,22591.055
BASE,N025-I01,GENETICO,0,42,7,480,22591.055
BASE,N025-I01,GENETICO,0,42,8,540,22591.055
BASE,N025-I01,GENETICO,0,42,9,600,22591.055
BASE,N025-I01,GENETICO,0,42,10,660,22591.055
BASE,N025-I01,GENETICO,0,42,11,720,22591.055
BASE,N025-I01,GENETICO,0,42,12,780,22591.055
BASE,N025-I01,GENETICO,0,42,13,840,22591.055
BASE,N025-I01,GENETICO,0,42,14,900,22591.055
BASE,N025-I01,GENETICO,0,42,15,960,22591.055
BASE,N025-I01,GENETICO,0,42,16,1020,22591.055
BASE,N025-I01,GENETICO,0,42,17,1080,22591.055
BASE,N025-I01,GENETICO,0,42,18,1140,22591.055
BASE,N025-I01,GENETICO,0,42,19,1200,22591.055
BASE,N025-I01,GENETICO,0,42,20,1260,22591.055
BASE,N025-I01,GENETICO,0,42,21,1320,22591.055
BASE,N025-I01,GENETICO,0,42,22,1380,22591.055
BASE,N025-I01,GENETICO,0,42,23,1440,22591.055
BASE,N025-I01,GENETICO,0,42,24,1500,22591.055
BASE,N025-I01,GENETICO,0,42,25,1560,22591.055
BASE,N025-I01,GENETICO,0,42,26,1620,22591.055
BASE,N025-I01,GENETICO,0,42,27,1680,22591.055
BASE,N025-I01,GENETICO,0,42,28,1740,22591.055
BASE,N025-I01,GENETICO,0,42,29,1800,22591.055
BASE,N025-I01,GENETICO,0,42,30,1860,22591.055
BASE,N025-I01,GENETICO,0,42,31,1920,22591.055
BASE,N025-I01,GENETICO,0,42,32,1980,22591.055
BASE,N025-I01,GENETICO,0,42,33,2040,22591.055
BASE,N025-I01,GENETICO,0,42,34,2100,22591.055
BASE,N025-I01,GENETICO,0,42,35,2160,22591.055
BASE,N025-I01,GENETICO,0,42,36,2220,22591.055
BASE,N025-I01,GENETICO,0,42,37,2280,22591.055
BASE,N025-I01,GENETICO,0,42,38,2340,22591.055
BASE,N025-I01,GENETICO,0,42,39,2400,22591.055
BASE,N025-I01,GENETICO,0,42,40,2460,22591.055
BASE,N025-I01,GENETICO,0,42,41,2520,22591.055
BASE,N025-I01,GENETICO,0,42,42,2580,22591.055
BASE,N025-I01,GENETICO,0,42,43,2640,22591.055
BASE,N025-I01,GENETICO,0,42,44,2700,22591.055
BASE,N025-I01,GENETICO,0,42,45,2760,22591.055
